"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"OQ202327","2367","Human","2 (PB2)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202328","2340","Human","1 (PB1)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202329","2275","Human","3 (PA)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202330","1847","Human","4 (HA)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202331","1815","Human","5 (NP)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202332","1528","Human","6 (NA)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202333","1154","Human","7 (MP)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ202334","1066","Human","8 (NS)","","USA","N","2022/10/03","Influenza B virus (B/Arizona/01/2022)","","","","","","c"
"OQ997418","2367","Human","2 (PB2)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997419","2340","Human","1 (PB1)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997420","2275","Human","3 (PA)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997421","1847","Human","4 (HA)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997422","1815","Human","5 (NP)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997423","1528","Human","6 (NA)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997424","1154","Human","7 (MP)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ997425","1066","Human","8 (NS)","","USA","N","2023/01/27","Influenza B virus (B/Arizona/01/2023)","","","","","","c"
"OQ661627","2367","Human","2 (PB2)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661628","2340","Human","1 (PB1)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661629","2276","Human","3 (PA)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661630","1847","Human","4 (HA)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661631","1815","Human","5 (NP)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661632","1528","Human","6 (NA)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661633","1154","Human","7 (MP)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ661634","1067","Human","8 (NS)","","USA","N","2022/12/31","Influenza B virus (B/Arizona/02/2022)","","","","","","c"
"OQ997426","2367","Human","2 (PB2)","","USA","N","2023/02/27","Influenza B virus (B/Arkansas/01/2023)","","","","","","c"
"OQ997427","2340","Human","1 (PB1)","","USA","N","2023/02/27","Influenza B virus (B/Arkansas/01/2023)","","","","","","c"
"OQ997431","1528","Human","6 (NA)","","USA","N","2023/02/27","Influenza B virus (B/Arkansas/01/2023)","","","","","","c"
"OQ997432","1154","Human","7 (MP)","","USA","N","2023/02/27","Influenza B virus (B/Arkansas/01/2023)","","","","","","c"
"OQ821714","1749","Human","4 (HA)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821715","1076","Human","7 (MP)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821716","1408","Human","6 (NA)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821717","1683","Human","5 (NP)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821719","2181","Human","3 (PA)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
"OQ821720","2259","Human","1 (PB1)","","Germany","N","2023/01/30","Influenza B virus (B/Baden-Wurttemberg/USAFSAM-14156/2023)","","","","","","c"
